Country 1	Country 2	Weight
AUS	AUT	7
AUS	BEL	98
AUS	CAN	112
AUS	CZE	9
AUS	DNK	16
AUS	FIN	6
AUS	FRA	103
AUS	DEU	155
AUS	GRC	1
AUS	HUN	1
AUS	IRL	6
AUS	ITA	57
AUS	JPN	3791
AUS	MEX	32
AUS	NLD	184
AUS	NOR	8
AUS	POL	10
AUS	PRT	1
AUS	SWE	20
AUS	CHE	67
AUS	TUR	72
AUS	GBR	306
AUS	USA	743
AUS	CHL	29
AUS	EST	1
AUS	SVN	3
AUS	KOR	1545
AUS	NZL	589
AUS	ESP	36
AUS	BRA	58
AUS	CHN	7585
AUS	COL	4
AUS	IND	769
AUS	ISR	18
AUS	LVA	1
AUS	RUS	59
AUS	ZAF	106
AUT	AUS	73
AUT	BEL	186
AUT	CAN	102
AUT	CZE	483
AUT	DNK	74
AUT	FIN	54
AUT	FRA	655
AUT	DEU	4176
AUT	GRC	43
AUT	HUN	436
AUT	ISL	2
AUT	ITA	905
AUT	JPN	149
AUT	LUX	21
AUT	MEX	62
AUT	NLD	214
AUT	NOR	62
AUT	POL	401
AUT	PRT	30
AUT	SWE	153
AUT	CHE	701
AUT	TUR	138
AUT	GBR	396
AUT	USA	781
AUT	CHL	22
AUT	EST	14
AUT	SVN	275
AUT	IRL	90
AUT	KOR	94
AUT	NZL	13
AUT	SVK	277
AUT	ESP	215
AUT	BRA	94
AUT	CHN	347
AUT	COL	15
AUT	IND	72
AUT	ISR	29
AUT	LVA	17
AUT	LTU	21
AUT	RUS	384
AUT	ZAF	56
BEL	AUS	136
BEL	AUT	212
BEL	CAN	264
BEL	CZE	301
BEL	DNK	268
BEL	FIN	215
BEL	FRA	6127
BEL	DEU	6648
BEL	GRC	139
BEL	HUN	193
BEL	ISL	7
BEL	ITA	1752
BEL	JPN	389
BEL	LUX	678
BEL	MEX	117
BEL	NLD	4789
BEL	NOR	209
BEL	POL	636
BEL	PRT	182
BEL	SWE	538
BEL	CHE	546
BEL	TUR	517
BEL	GBR	2895
BEL	USA	2008
BEL	CHL	52
BEL	EST	36
BEL	SVN	58
BEL	IRL	181
BEL	KOR	151
BEL	NZL	23
BEL	SVK	104
BEL	ESP	940
BEL	BRA	377
BEL	CHN	810
BEL	COL	42
BEL	IND	875
BEL	ISR	233
BEL	LVA	32
BEL	LTU	98
BEL	RUS	570
BEL	ZAF	167
CAN	AUS	161
CAN	AUT	50
CAN	BEL	287
CAN	CZE	11
CAN	DNK	20
CAN	FIN	28
CAN	FRA	245
CAN	DEU	283
CAN	GRC	7
CAN	HUN	12
CAN	ISL	4
CAN	IRL	35
CAN	ITA	158
CAN	JPN	865
CAN	LUX	8
CAN	MEX	439
CAN	NLD	290
CAN	NOR	167
CAN	POL	37
CAN	PRT	19
CAN	SWE	29
CAN	CHE	142
CAN	TUR	74
CAN	GBR	1139
CAN	USA	28922
CAN	CHL	65
CAN	EST	2
CAN	SVN	1
CAN	KOR	278
CAN	NZL	32
CAN	SVK	4
CAN	ESP	76
CAN	BRA	200
CAN	CHN	1659
CAN	COL	58
CAN	IND	230
CAN	ISR	31
CAN	LVA	12
CAN	LTU	7
CAN	RUS	114
CAN	ZAF	38
CZE	AUS	52
CZE	AUT	590
CZE	BEL	347
CZE	CAN	36
CZE	DNK	111
CZE	FIN	65
CZE	FRA	666
CZE	DEU	4219
CZE	GRC	23
CZE	HUN	350
CZE	ISL	3
CZE	IRL	39
CZE	ITA	486
CZE	JPN	73
CZE	LUX	14
CZE	MEX	40
CZE	NLD	377
CZE	NOR	69
CZE	POL	804
CZE	PRT	38
CZE	SWE	202
CZE	CHE	209
CZE	TUR	184
CZE	GBR	651
CZE	USA	294
CZE	CHL	5
CZE	EST	22
CZE	SVN	57
CZE	KOR	48
CZE	NZL	6
CZE	SVK	1201
CZE	ESP	289
CZE	BRA	35
CZE	CHN	160
CZE	COL	4
CZE	IND	47
CZE	ISR	53
CZE	LVA	27
CZE	LTU	50
CZE	RUS	495
CZE	ZAF	42
DNK	AUS	87
DNK	AUT	58
DNK	BEL	121
DNK	CAN	81
DNK	CZE	71
DNK	FIN	268
DNK	FRA	308
DNK	DEU	1529
DNK	GRC	45
DNK	HUN	52
DNK	ISL	37
DNK	IRL	79
DNK	ITA	221
DNK	JPN	163
DNK	LUX	4
DNK	MEX	31
DNK	NLD	405
DNK	NOR	632
DNK	POL	231
DNK	PRT	29
DNK	SWE	1121
DNK	CHE	82
DNK	TUR	73
DNK	GBR	795
DNK	USA	650
DNK	CHL	24
DNK	EST	23
DNK	SVN	8
DNK	KOR	65
DNK	NZL	10
DNK	SVK	24
DNK	ESP	165
