Code	Country	Imports	Exports	Hub Score	Autority Score
AUS	Australia	13342	16608	0.012784398978331639	0.022148138029112804
AUT	Austria	13050	12332	0.009492796076860118	0.013761063735535994
BEL	Belgium	34057	34515	0.02602111570008553	0.02800812037008524
CAN	Canada	34327	36239	0.12594285259999302	0.04566013292019786
CZE	Czech Republic	11065	12483	0.007440775160985305	0.012035154649588903
DNK	Denmark	7634	8229	0.0060826160236341405	0.006602029315209755
FIN	Finland	6166	5663	0.0036501481075570503	0.004669266427131949
FRA	France	48557	39326	0.029927357624677273	0.04824113392363514
DEU	Germany	92140	105336	0.07655192020421284	0.06830760903478741
GRC	Greece	3640	1666	0.00105687303455406	0.00296083617424925
HUN	Hungary	7192	7156	0.004594428524007009	0.006468624390852293
IRL	Ireland	5213	9869	0.012539828870309806	0.004867505944176622
ITA	Italy	31062	33595	0.0266692050775021	0.028500707856329535
JPN	Japan	41014	41041	0.06117196366801558	0.07509627422560551
MEX	Mexico	27588	31817	0.1086502285512746	0.04009580297097533
NLD	Netherlands	38073	40323	0.027716875030063388	0.039100719932231034
NOR	Norway	7033	12704	0.009072945185646558	0.006359403935720511
POL	Poland	17510	14301	0.008291681004278188	0.017736245454164173
PRT	Portugal	5207	4209	0.002669848248674593	0.0032686553524063707
SWE	Sweden	11818	12165	0.008215718811009305	0.008819994877078716
CHE	Switzerland	16749	16294	0.017605345882452102	0.01734797557018938
TUR	Turkey	15602	7826	0.005439393226367054	0.0167676750696114
GBR	United Kingdom	48276	32525	0.03407294005308299	0.04663414281300569
USA	United States	156831	95260	0.04975514194370452	0.30998450909188496
CHL	Chile	5158	5527	0.00610929364036139	0.008190061665819839
EST	Estonia	1530	1318	0.00039062730458640764	0.001079391916914992
SVN	Slovenia	2140	1878	0.0010710328894660013	0.0017100289216711603
LUX	Luxembourg	2028	1304	0.0008654373129304848	0.00175142970237366
ISL	Iceland	381	403	0.000273932448304721	0.00030693331050508146
KOR	Korea	15205	15478	0.028247957288154442	0.014181426659992693
NZL	New Zealand	1537	1562	0.0018836334647468068	0.001057307521275473
SVK	Slovak Republic	4668	4993	0.0029007605519395904	0.0026560341999079056
ESP	Spain	18059	17676	0.012350098264802049	0.013093183062694386
BRA	Brazil	9519	8069	0.013116356872785135	0.008851553986387392
CHN	China (People's Republic of)	49216	100868	0.19525036020116812	0.04522405491273237
COL	Colombia	2787	2859	0.00813836381159879	0.003068745037427237
IND	India	8092	9546	0.018021427505983695	0.007021855430552148
ISR	Israel	3315	3689	0.008910643536172777	0.002557095956423032
LVA	Latvia	958	608	0.0002998292869960646	0.000490397788003773
LTU	Lithuania	1431	1242	0.000993607580822682	0.0008195629983999999
RUS	Russia	14831	25819	0.021075492948024206	0.011261458454845415
ZAF	South Africa	3672	3352	0.00468474750387784	0.003237756410307474
