disorder1	disorder2	ngenes1	ngenes2	class1	class2	ncommon_genes
17,20-lyase deficiency	17-alpha-hydroxylase/17	3	3	Endocrine	Endocrine	3
17-alpha-hydroxylase/17	17,20-lyase deficiency	3	3	Endocrine	Endocrine	3
3-methylglutaconicaciduria	Optic atrophy and cataract	2	2	Metabolic	Ophthamological	2
Aarskog-Scott syndrome	Mental retardation	3	3	multiple	Neurological	3
Abacavir hypersensitivity	Ankylosing spoldylitis	1	1	Immunological	Connective tissue	1
Abacavir hypersensitivity	Stevens-Johnson syndrome	1	1	Immunological	Dermatological	1
ABCD syndrome	Hirschsprung disease-2	3	3	multiple	Gastrointestinal	3
ABCD syndrome	Waardenburg-Shah syndrome	3	3	multiple	multiple	3
Abetalipoproteinemia	Hypercholesterolemia	2	2	Metabolic	Metabolic	2
Abetalipoproteinemia	Hypobetalipoproteinemia	2	2	Metabolic	Metabolic	2
Acampomelic campolelic dysplasia	Campomelic dysplasia	3	3	Skeletal	Skeletal	3
Acampomelic campolelic dysplasia	Campomelic dysplasia with autosomal sex reversal	3	3	Skeletal	Skeletal	3
Achalasia-addisonianism-alacrimia syndrome	Alzheimer disease-1	2	4	multiple	Neurological	1
Achalasia-addisonianism-alacrimia syndrome	Amyloidosis	2	4	multiple	Neurological	1
Achalasia-addisonianism-alacrimia syndrome	Schizophrenia	2	4	multiple	Psychiatric	1
Achondrogenesis-hypochondrogenesis	Kniest dysplasia	1	1	Bone	Skeletal	1
Achondrogenesis-hypochondrogenesis	Osteoarthrosis	1	1	Bone	Connective tissue	1
Achondrogenesis-hypochondrogenesis	SMED Strudwick type	1	1	Bone	Skeletal	1
Achondrogenesis-hypochondrogenesis	Stickler syndrome	1	1	Bone	multiple	1
Achondrogenesis-hypochondrogenesis	Wagner syndrome	1	1	Bone	Ophthamological	1
Achondrogenesis Ib	Atelosteogenesis II	5	5	Bone	Connective tissue	5
Achondrogenesis Ib	Diastrophic dysplasia	5	5	Bone	Skeletal	5
Achondrogenesis Ib	Diastrophic dysplasia	5	5	Bone	Skeletal	5
Achondrogenesis Ib	Epiphyseal dysplasia	5	5	Bone	Bone	5
Achondroplasia	Bladder cancer	2	2	Skeletal	Cancer	2
Achondroplasia	Cervical cancer	2	2	Skeletal	Cancer	2
Achondroplasia	Colorectal cancer	2	2	Skeletal	Cancer	2
Achondroplasia	Crouzon syndrome with acanthosis nigricans	2	2	Skeletal	Skeletal	2
Achondroplasia	Hypochondroplasia	2	2	Skeletal	Skeletal	2
Achondroplasia	Muenke syndrome	2	2	Skeletal	Skeletal	2
Achondroplasia	Thanatophoric dysplasia	2	2	Skeletal	Skeletal	2
Achromatopsia-3	Macular degeneration	2	2	Ophthamological	Ophthamological	2
Acquired long QT syndrome	Long QT syndrome-2	3	3	Cardiovascular	Cardiovascular	3
Acrocallosal syndrome	Greig cephalopolysyndactyly syndrome	4	4	multiple	Skeletal	4
Acrocallosal syndrome	Pallister-Hall syndrome	4	4	multiple	multiple	4
Acrocallosal syndrome	Polydactyly	4	4	multiple	Skeletal	4
Acrocallosal syndrome	Polydactyly	4	4	multiple	Skeletal	4
Acrocapitofemoral dysplasia	Brachydactyly	2	2	Skeletal	Skeletal	2
Acrokeratosis verruciformis	Darier disease	3	3	Dermatological	Dermatological	3
Acromegaly	McCune-Albright syndrome	7	7	Endocrine	multiple	7
Acromegaly	Osseous heteroplasia	7	7	Endocrine	Bone	7
Acromegaly	Pituitary ACTH secreting adenoma	7	7	Endocrine	Cancer	7
Acromegaly	Pseudohypoparathyroidism	7	7	Endocrine	Endocrine	7
Acromegaly	Pseudohypoparathyroidism	7	7	Endocrine	Endocrine	7
Acromegaly	Somatotrophinoma	7	7	Endocrine	Endocrine	7
Acromesomelic dysplasia	Brachydactyly	2	2	Skeletal	Skeletal	2
Acromesomelic dysplasia	Chondrodysplasia	2	2	Skeletal	Skeletal	2
Acromesomelic dysplasia	Fibular hypoplasia and complex brachydactyly	2	2	Skeletal	Skeletal	2
Adenocarcinoma of lung	Nonsmall cell lung cancer	1	1	Cancer	Cancer	1
Adenocarcinoma of lung	Colorectal cancer	1	1	Cancer	Cancer	1
Adenocarcinoma of lung	Melanoma	1	1	Cancer	Cancer	1
Adenocarcinoma of lung	Nonsmall cell lung cancer	1	1	Cancer	Cancer	1
Adenocarcinoma of lung	Gastric cancer	4	4	Cancer	Cancer	4
Adenocarcinoma of lung	Glioblastoma	4	4	Cancer	Cancer	4
Adenocarcinoma of lung	Ovarian cancer	4	4	Cancer	Cancer	4
Adenocarcinoma of lung	Sialidosis	4	3	Cancer	Metabolic	1
Adenocarcinoma of lung	Sialidosis	4	3	Cancer	Metabolic	1
Adenocarcinoma of lung	Adenocarcinoma	3	3	Cancer	Cancer	3
Adenocarcinoma of lung	Leprosy	3	3	Cancer	Immunological	3
Adenocarcinoma of lung	Parkinson disease	3	3	Cancer	Neurological	3
Adenocarcinoma	Adenocarcinoma of lung	3	3	Cancer	Cancer	3
Adenocarcinoma	Leprosy	3	3	Cancer	Immunological	3
Adenocarcinoma	Parkinson disease	3	3	Cancer	Neurological	3
Adenoma	Adenomatous polyposis coli	3	3	Cancer	Cancer	3
Adenoma	Adenomatous polyposis coli	3	3	Cancer	Cancer	3
Adenoma	Colorectal cancer	3	3	Cancer	Cancer	3
Adenoma	Desmoid disease	3	3	Cancer	Cancer	3
Adenoma	Gardner syndrome	3	3	Cancer	Cancer	3
