disorder1	disorder2	ngenes1	ngenes2	class1	class2	ncommon_genes
17,20-lyase deficiency, isolated	17-alpha-hydroxylase/17,20-lyase deficiency	3	3	Endocrine	Endocrine	3
17-alpha-hydroxylase/17,20-lyase deficiency	17,20-lyase deficiency, isolated	3	3	Endocrine	Endocrine	3
3-methylglutaconicaciduria, type III	Optic atrophy and cataract	2	2	Metabolic	Ophthamological	2
Aarskog-Scott syndrome	Mental retardation, X-linked nonsyndromic	3	3	multiple	Neurological	3
Abacavir hypersensitivity, susceptibility to	Ankylosing spoldylitis, susceptibility to	1	1	Immunological	Connective tissue	1
Abacavir hypersensitivity, susceptibility to	Stevens-Johnson syndrome, carbamazepine-induced, susceptibility to	1	1	Immunological	Dermatological	1
ABCD syndrome	Hirschsprung disease-2	3	3	multiple	Gastrointestinal	3
ABCD syndrome	Waardenburg-Shah syndrome	3	3	multiple	multiple	3
Abetalipoproteinemia	Hypercholesterolemia, due to ligand-defective apo B	2	2	Metabolic	Metabolic	2
Abetalipoproteinemia	Hypobetalipoproteinemia	2	2	Metabolic	Metabolic	2
Acampomelic campolelic dysplasia	Campomelic dysplasia	3	3	Skeletal	Skeletal	3
Acampomelic campolelic dysplasia	Campomelic dysplasia with autosomal sex reversal	3	3	Skeletal	Skeletal	3
Achalasia-addisonianism-alacrimia syndrome	Alzheimer disease-1, APP-related	2	4	multiple	Neurological	1
Achalasia-addisonianism-alacrimia syndrome	Amyloidosis, cerebroarterial, Dutch type	2	4	multiple	Neurological	1
Achalasia-addisonianism-alacrimia syndrome	Schizophrenia, chronic	2	4	multiple	Psychiatric	1
Achondrogenesis-hypochondrogenesis, type II	Kniest dysplasia	1	1	Bone	Skeletal	1
Achondrogenesis-hypochondrogenesis, type II	Osteoarthrosis	1	1	Bone	Connective tissue	1
Achondrogenesis-hypochondrogenesis, type II	SMED Strudwick type	1	1	Bone	Skeletal	1
Achondrogenesis-hypochondrogenesis, type II	Stickler syndrome, type I	1	1	Bone	multiple	1
Achondrogenesis-hypochondrogenesis, type II	Wagner syndrome	1	1	Bone	Ophthamological	1
Achondrogenesis Ib	Atelosteogenesis II	5	5	Bone	Connective tissue	5
Achondrogenesis Ib	Diastrophic dysplasia	5	5	Bone	Skeletal	5
Achondrogenesis Ib	Diastrophic dysplasia, broad bone-platyspondylic variant	5	5	Bone	Skeletal	5
Achondrogenesis Ib	Epiphyseal dysplasia, multiple	5	5	Bone	Bone	5
Achondroplasia	Bladder cancer	2	2	Skeletal	Cancer	2
Achondroplasia	Cervical cancer, somatic	2	2	Skeletal	Cancer	2
Achondroplasia	Colorectal cancer, somatic	2	2	Skeletal	Cancer	2
Achondroplasia	Crouzon syndrome with acanthosis nigricans	2	2	Skeletal	Skeletal	2
Achondroplasia	Hypochondroplasia	2	2	Skeletal	Skeletal	2
Achondroplasia	Muenke syndrome	2	2	Skeletal	Skeletal	2
Achondroplasia	Thanatophoric dysplasia, types I and II	2	2	Skeletal	Skeletal	2
Achromatopsia-3	Macular degeneration, juvenile	2	2	Ophthamological	Ophthamological	2
Acquired long QT syndrome, susceptibility to	Long QT syndrome-2	3	3	Cardiovascular	Cardiovascular	3
Acrocallosal syndrome	Greig cephalopolysyndactyly syndrome	4	4	multiple	Skeletal	4
Acrocallosal syndrome	Pallister-Hall syndrome	4	4	multiple	multiple	4
Acrocallosal syndrome	Polydactyly, postaxial, types A1 and B	4	4	multiple	Skeletal	4
Acrocallosal syndrome	Polydactyly, preaxial, type IV	4	4	multiple	Skeletal	4
Acrocapitofemoral dysplasia	Brachydactyly, type A1	2	2	Skeletal	Skeletal	2
Acrokeratosis verruciformis	Darier disease	3	3	Dermatological	Dermatological	3
Acromegaly	McCune-Albright syndrome	7	7	Endocrine	multiple	7
Acromegaly	Osseous heteroplasia, progressive	7	7	Endocrine	Bone	7
Acromegaly	Pituitary ACTH secreting adenoma	7	7	Endocrine	Cancer	7
Acromegaly	Pseudohypoparathyroidism, type Ia	7	7	Endocrine	Endocrine	7
Acromegaly	Pseudohypoparathyroidism, type Ib	7	7	Endocrine	Endocrine	7
Acromegaly	Somatotrophinoma	7	7	Endocrine	Endocrine	7
Acromesomelic dysplasia, Hunter-Thompson type	Brachydactyly, type C	2	2	Skeletal	Skeletal	2
Acromesomelic dysplasia, Hunter-Thompson type	Chondrodysplasia, Grebe type	2	2	Skeletal	Skeletal	2
Acromesomelic dysplasia, Hunter-Thompson type	Fibular hypoplasia and complex brachydactyly	2	2	Skeletal	Skeletal	2
Adenocarcinoma of lung, response to tyrosine kinase inhibitor in	Nonsmall cell lung cancer, response to tyrosine kinase inhibitor in	1	1	Cancer	Cancer	1
