	disorder	class	gene_list
0	17,20-lyase deficiency, isolated	Endocrine	CYP17A1, CYP17, P450C17
1	17-alpha-hydroxylase/17,20-lyase deficiency	Endocrine	CYP17A1, CYP17, P450C17
2	2-methyl-3-hydroxybutyryl-CoA dehydrogenase deficiency	Metabolic	HADH2, ERAB
3	2-methylbutyrylglycinuria	Metabolic	ACADSB
4	3-beta-hydroxysteroid dehydrogenase, type II, deficiency	Metabolic	HSD3B2
5	3-hydroxyacyl-CoA dehydrogenase deficiency	Metabolic	HADHSC, SCHAD
6	3-Methylcrotonyl-CoA carboxylase 1 deficiency	Metabolic	MCCC1, MCCA
7	3-Methylcrotonyl-CoA carboxylase 2 deficiency	Metabolic	MCCC2, MCCB
8	3-methylglutaconic aciduria, type I	Metabolic	AUH
9	3-methylglutaconicaciduria, type III	Metabolic	OPA3, MGA3
10	3-M syndrome	multiple	CUL7
11	6-mercaptopurine sensitivity	Metabolic	TPMT
12	Aarskog-Scott syndrome	multiple	FGD1, FGDY, AAS
13	Abacavir hypersensitivity, susceptibility to	Immunological	HLA-B
14	ABCD syndrome	multiple	EDNRB, HSCR2, ABCDS
15	Abetalipoproteinemia	Metabolic	MTP
16	Abetalipoproteinemia	Metabolic	APOB, FLDB
17	Acampomelic campolelic dysplasia	Skeletal	SOX9, CMD1, SRA1
18	Acatalasemia	Hematological	CAT
19	Accelerated tumor formation, susceptibility to	Cancer	MDM2
20	Achalasia-addisonianism-alacrimia syndrome	multiple	AAAS, AAA
21	Acheiropody	Skeletal	C7orf2, ACHP, LMBR1
22	Achondrogenesis-hypochondrogenesis, type II	Bone	COL2A1
23	Achondrogenesis Ib	Bone	SLC26A2, DTD, DTDST, D5S1708, EDM4
24	Achondroplasia	Skeletal	FGFR3, ACH
25	Achromatopsia-2	Ophthamological	CNGA3, CNG3, ACHM2
26	Achromatopsia-3	Ophthamological	CNGB3, ACHM3
27	Achromatopsia-4	Ophthamological	GNAT2, ACHM4
28	Acid-labile subunit, deficiency of	Endocrine	IGFALS, ALS
29	Acquired long QT syndrome, susceptibility to	Cardiovascular	KCNH2, LQT2, HERG
30	Acrocallosal syndrome	multiple	GLI3, PAPA, PAPB, ACLS
31	Acrocapitofemoral dysplasia	Skeletal	IHH, BDA1
32	Acrodermatitis enteropathica	Dermatological	SLC39A4, ZIP4
33	Acrokeratosis verruciformis	Dermatological	ATP2A2, ATP2B, DAR
34	Acromegaly	Endocrine	GNAS, GNAS1, GPSA, POH, PHP1B, PHP1A, AHO
35	Acromegaly	Endocrine	SSTR5
36	Acromesomelic dysplasia, Hunter-Thompson type	Skeletal	GDF5, CDMP1
37	Acromesomelic dysplasia, Maroteaux type	Skeletal	NPR2, ANPRB, AMDM
38	Acyl-CoA dehydrogenase, long chain, deficiency of	Metabolic	ACADL, LCAD
39	Acyl-CoA dehydrogenase, medium chain, deficiency of	Metabolic	ACADM, MCAD
40	Acyl-CoA dehydrogenase, short-chain, deficiency of	Metabolic	ACADS, SCAD
41	Adenocarcinoma of lung, response to tyrosine kinase inhibitor in	Cancer	EGFR
42	Adenocarcinoma of lung, somatic	Cancer	BRAF
43	Adenocarcinoma of lung, somatic	Cancer	ERBB2, NGL, NEU, HER2
44	Adenocarcinoma of lung, somatic	Cancer	PRKN, PARK2, PDJ
45	Adenocarcinoma, ovarian, somatic	Cancer	PRKN, PARK2, PDJ
46	Adenoma, periampullary	Cancer	APC, GS, FPC
47	Adenomas, multiple colorectal	Cancer	MUTYH
48	Adenomas, salivary gland pleomorphic	Cancer	PLAG1, SGPA, PSA
49	Adenomatous polyposis coli	Cancer	APC, GS, FPC
50	Adenomatous polyposis coli, attenuated	Cancer	APC, GS, FPC
51	Adenosine deaminase deficiency, partial	Immunological	ADA
52	Adenylosuccinase deficiency	Metabolic	ADSL
53	Adiponectin deficiency	Endocrine	APM1, GBP28
54	Adrenal adenoma, sporadic	Cancer	MEN1
55	Adrenal cortical carcinoma	Cancer	TP53, P53, LFS1
56	Adrenal hyperplasia, congenital, due to 11-beta-hydroxylase deficiency	Endocrine	CYP11B1, P450C11, FHI
57	Adrenal hyperplasia, congenital, due to 21-hydroxylase deficiency	Endocrine	CYP21A2, CYP21, CA21H
58	Adrenal hyperplasia, congenital, due to combined P450C17 and P450C21 deficiency, 201750	Endocrine	POR
59	Adrenal hypoplasia, congenital, with hypogonadotropic hypogonadism	Endocrine	DAX1, AHC, AHX, NROB1
60	Adrenocortical insufficiency without ovarian defect	Endocrine	FTZF1, FTZ1, SF1
61	Adrenocortical tumor, somatic	Cancer	PRKAR1A, TSE1, CNC1, CAR
62	Adrenocorticotropic hormone deficiency	Endocrine	TBS19
63	Adrenoleukodystrophy	Neurological	ABCD1, ALD, AMN
64	Adrenoleukodystrophy, neonatal	Neurological	PEX10, NALD
65	Adrenoleukodystrophy, neonatal	Neurological	PEX13, ZWS, NALD
66	Adrenoleukodystrophy, neonatal	Neurological	PEX1, ZWS1
67	Adrenoleukodystrophy, neonatal	Neurological	PEX26
68	Adrenoleukodystrophy, neonatal	Neurological	PXR1, PEX5, PTS1R
69	Adrenomyeloneuropathy	Metabolic	ABCD1, ALD, AMN
70	Adult i phenotype with congenital cataract	Hematological	GCNT2
71	Adult i phenotype without cataract	Hematological	GCNT2
72	ADULT syndrome	multiple	TP73L, TP63, KET, EEC3, SHFM4, LMS, RHS
73	Advanced sleep phase syndrome, familial	Neurological	PER2, FASPS, KIAA0347
74	Afibrinogenemia	Hematological	FGA
75	Afibrinogenemia, congenital	Hematological	FGB
76	Agammaglobulinemia	Hematological	IGHM, MU
77	Agammaglobulinemia, autosomal recessive	Hematological	IGLL1, IGO, IGL5, VPREB2
78	Agammaglobulinemia, non-Bruton type	Hematological	LRRC8, KIAA1437
79	Agammaglobulinemia, type 1, X-linked	Hematological	BTK, AGMX1, IMD1, XLA, AT
80	AGAT deficiency	Metabolic	GATM, AGAT
81	Agenesis of the corpus callosum with peripheral neuropathy	Neurological	SLC12A6, KCC3A, KCC3B, KCC3, ACCPN
82	AICA-ribosiduria due to ATIC deficiency	Metabolic	ATIC, PURH, AICAR
83	AIDS, delayed/rapid progression to	Immunological	KIR3DL1, NKAT3, NKB1, AMB11, KIR3DS1
84	AIDS, rapid progression to	Immunological	IFNG
85	AIDS, resistance to	Immunological	CXCL12, SDF1
86	Alagille syndrome	multiple	JAG1, AGS, AHD
87	Albinism, brown oculocutaneous,	Dermatological	OCA2, P, PED, D15S12, BOCA
88	Albinism, ocular, autosomal recessive	Dermatological	OCA2, P, PED, D15S12, BOCA
89	Albinism, oculocutaneous, type IA	Dermatological	TYR
90	Albinism, oculocutaneous, type IB	Dermatological	TYR
91	Albinism, oculocutaneous, type II	Dermatological	OCA2, P, PED, D15S12, BOCA
92	Albinism, rufous	Dermatological	TYRP1, CAS2, GP75
93	Alcohol dependence, susceptibility to	Unclassified	HTR2A
94	Alcohol intolerance, acute	Metabolic	ALDH2
95	Alcoholism, susceptibility to	Unclassified	GABRA2
96	Aldolase A deficiency	Metabolic	ALDOA
97	Aldosterone to renin ratio raised	Endocrine	CYP11B2
98	Aldosteronism, glucocorticoid-remediable	Endocrine	CYP11B1, P450C11, FHI
99	Alexander disease	multiple	GFAP
